詣,08a63
壱,058f1
毎,06bce
敏,0654f
梅,06885
海,06d77
乞,04e5e
乾,04e7e
腹,08179
複,08907
欠,06b20
吹,05439
炊,0708a
歌,06b4c
軟,08edf
次,06b21
茨,08328
資,08cc7
姿,059ff
諮,08aee
賠,08ce0
培,057f9
剖,05256
音,097f3
暗,06697
韻,097fb
識,08b58
鏡,093e1
境,05883
亡,04ea1
盲,076f2
妄,05984
荒,08352
望,0671b
方,065b9
妨,059a8
坊,0574a
芳,082b3
肪,080aa
訪,08a2a
放,0653e
激,06fc0
脱,08131
説,08aac
鋭,092ed
曽,066fd
増,05897
贈,08d08
東,06771
棟,068df
凍,051cd
妊,0598a
廷,05ef7
染,067d3
燃,071c3
賓,08cd3
歳,06b73
県,0770c
栃,06803
地,05730
池,06c60
虫,0866b
蛍,086cd
蛇,086c7
虹,08679
蝶,08776
独,072ec
蚕,08695
風,098a8
己,05df1
起,08d77
妃,05983
改,06539
記,08a18
包,05305
胞,080de
砲,07832
泡,06ce1
亀,04e80
電,096fb
竜,07adc
滝,06edd
豚,08c5a
逐,09010
遂,09042
家,05bb6
嫁,05ac1
豪,08c6a
腸,08178
場,05834
湯,06e6f
羊,07f8a
美,07f8e
洋,06d0b
詳,08a73
鮮,09bae
達,09054
羨,07fa8
差,05dee
着,07740
唯,0552f
堆,05806
椎,0690e
誰,08ab0
焦,07126
礁,07901
集,096c6
准,051c6
進,09032
雑,096d1
雌,096cc
準,06e96
奮,0596e
奪,0596a
確,078ba
午,05348
許,08a31
歓,06b53
権,06a29
観,089b3
羽,07fbd
習,07fd2
翌,07fcc
曜,066dc
濯,06fef
曰,066f0
困,056f0
固,056fa
錮,0932e
国,056fd
団,056e3
因,056e0
姻,059fb
咽,054bd
園,05712
回,056de
壇,058c7
店,05e97
庫,05eab
庭,05ead
庁,05e81
床,05e8a
麻,09ebb
磨,078e8
心,05fc3
忘,05fd8
恣,06063
忍,05fcd
認,08a8d
忌,05fcc
志,05fd7
誌,08a8c
芯,082af
忠,05fe0
串,04e32
患,060a3
思,0601d
恩,06069
応,05fdc
意,0610f
臆,081c6
想,060f3
息,0606f
憩,061a9
恵,06075
恐,06050
惑,060d1
感,0611f
憂,06182
寡,05be1
忙,05fd9
悦,060a6
恒,06052
悼,060bc
悟,0609f
怖,06016
慌,0614c
悔,06094
憎,0618e
慣,06163
愉,06109
惰,060f0
慎,0614e
憾,061be
憶,061b6
惧,060e7
憧,061a7
憬,061ac
慕,06155
添,06dfb
必,05fc5
泌,06ccc
手,0624b
看,0770b
摩,06469
我,06211
義,07fa9
議,08b70
犠,072a0
抹,062b9
拭,062ed
拉,062c9
抱,062b1
搭,0642d
抄,06284
抗,06297
批,06279
招,062db
拓,062d3
拍,062cd
打,06253
拘,062d8
捨,06368
拐,062d0
摘,06458
挑,06311
指,06307
持,06301
拶,062f6
括,062ec
揮,063ee
推,063a8
揚,063da
提,063d0
損,0640d
拾,062fe
担,062c5
拠,062e0
描,063cf
操,064cd
接,063a5
掲,063b2
掛,0639b
捗,06357
研,07814
戒,06212
弄,05f04
械,068b0
鼻,09f3b
刑,05211
型,0578b
才,0624d
財,08ca1
材,06750
存,05b58
在,05728
乃,04e43
携,0643a
及,053ca
吸,05438
扱,06271
丈,04e08
史,053f2
吏,0540f
更,066f4
硬,0786c
梗,06897
又,053c8
双,053cc
桑,06851
隻,096bb
護,08b77
獲,07372
奴,05974
怒,06012
友,053cb
抜,0629c
投,06295
没,06ca1
股,080a1
設,08a2d
撃,06483
殻,06bbb
支,0652f
技,06280
枝,0679d
肢,080a2
茎,0830e
怪,0602a
軽,08efd
叔,053d4
督,07763
寂,05bc2
淑,06dd1
反,053cd
坂,05742
板,0677f
返,08fd4
販,08ca9
爪,0722a
妥,059a5
乳,04e73
浮,06d6e
淫,06deb
将,05c06
奨,05968
采,091c7
採,063a1
菜,083dc
受,053d7
授,06388
愛,0611b
曖,066d6
払,06255
広,05e83
勾,052fe
拡,062e1
鉱,09271
弁,05f01
雄,096c4
台,053f0
怠,06020
治,06cbb
冶,051b6
始,059cb
胎,080ce
窓,07a93
去,053bb
法,06cd5
会,04f1a
至,081f3
室,05ba4
到,05230
致,081f4
互,04e92
棄,068c4
育,080b2
撤,064a4
充,05145
銃,09283
硫,0786b
流,06d41
允,05141
唆,05506
出,051fa
山,05c71
拙,062d9
岩,05ca9
炭,070ad
岐,05c90
峠,05ce0
崩,05d29
密,05bc6
蜜,0871c
嵐,05d50
崎,05d0e
崖,05d16
入,05165
込,08fbc
分,05206
貧,08ca7
頒,09812
公,0516c
松,0677e
翁,07fc1
訟,08a1f
谷,08c37
浴,06d74
容,05bb9
溶,06eb6
欲,06b32
裕,088d5
鉛,0925b
沿,06cbf
賞,08cde
党,0515a
堂,05802
常,05e38
裳,088f3
掌,0638c
皮,076ae
波,06ce2
婆,05a46
披,062ab
破,07834
被,088ab
残,06b8b
殉,06b89
殊,06b8a
殖,06b96
列,05217
裂,088c2
烈,070c8
死,06b7b
葬,0846c
瞬,077ac
耳,08033
取,053d6
趣,08da3
最,06700
撮,064ae
恥,06065
職,08077
聖,08056
敢,06562
聴,08074
懐,061d0
慢,06162
漫,06f2b
買,08cb7
置,07f6e
罰,07f70
寧,05be7
濁,06fc1
環,074b0
還,09084
夫,0592b
扶,06276
渓,06e13
規,0898f
替,066ff
賛,08cdb
潜,06f5c
失,05931
鉄,09244
迭,08fed
臣,081e3
姫,059eb
蔵,08535
臓,081d3
賢,08ce2
腎,0814e
堅,05805
臨,081e8
覧,089a7
巨,05de8
拒,062d2
力,0529b
男,07537
労,052b4
募,052df
劣,052a3
功,0529f
勧,052e7
努,052aa
勃,052c3
励,052b1
加,052a0
賀,08cc0
架,067b6
脇,08107
脅,08105
協,05354
行,0884c
律,05f8b
復,05fa9
得,05f97
従,05f93
徒,05f92
待,05f85
往,05f80
征,05f81
径,05f84
彼,05f7c
役,05f79
徳,05fb3
徹,05fb9
徴,05fb4
懲,061f2
微,05fae
街,08857
桁,06841
衡,08861
稿,07a3f
稼,07a3c
程,07a0b
税,07a0e
稚,07a1a
和,0548c
移,079fb
秒,079d2
秋,079cb
愁,06101
私,079c1
秩,079e9
秘,079d8
称,079f0
利,05229
梨,068a8
穫,07a6b
穂,07a42
稲,07a32
香,09999
季,05b63
委,059d4
秀,079c0
透,0900f
誘,08a98
稽,07a3d
穀,07a40
菌,083cc
萎,0840e
米,07c73
粉,07c89
粘,07c98
粒,07c92
粧,07ca7
迷,08ff7
粋,07c8b
謎,08b0e
糧,07ce7
菊,083ca
奥,05965
数,06570
楼,0697c
類,0985e
漆,06f06
膝,0819d
様,069d8
求,06c42
球,07403
救,06551
竹,07af9
笑,07b11
笠,07b20
笹,07b39
䇳,041f3
筋,07b4b
箱,07bb1
筆,07b46
筒,07b52
等,07b49
算,07b97
答,07b54
策,07b56
簿,07c3f
築,07bc9
篭,07bed
人,04eba
佐,04f50
侶,04fb6
但,04f46
住,04f4f
位,04f4d
仲,04ef2
体,04f53
悠,060a0
件,04ef6
仕,04ed5
他,04ed6
伏,04f0f
伝,04f1d
仏,04ecf
休,04f11
仮,04eee
伎,04f0e
伯,04f2f
俗,04fd7
信,04fe1
佳,04f73
依,04f9d
例,04f8b
個,0500b
健,05065
側,05074
侍,04f8d
停,0505c
値,05024
倣,05023
傲,050b2
倒,05012
偵,05075
僧,050e7
億,05104
儀,05100
償,0511f
仙,04ed9
催,050ac
仁,04ec1
侮,04fae
使,04f7f
便,04fbf
倍,0500d
優,0512a
伐,04f10
宿,05bbf
傷,050b7
保,04fdd
褒,08912
傑,05091
付,04ed8
符,07b26
府,05e9c
任,04efb
賃,08cc3
代,04ee3
袋,0888b
貸,08cb8
化,05316
花,082b1
貨,08ca8
傾,050be
何,04f55
荷,08377
俊,04fca
傍,0508d
俺,04ffa
久,04e45
畝,0755d
囚,056da
内,05185
丙,04e19
柄,067c4
肉,08089
腐,08150
座,05ea7
挫,0632b
卒,05352
傘,05098
匁,05301
以,04ee5
似,04f3c
併,04f75
瓦,074e6
瓶,074f6
宮,05bae
営,055b6
善,05584
膳,081b3
年,05e74
夜,0591c
液,06db2
塚,0585a
幣,05e63
蔽,0853d
弊,05f0a
喚,0559a
換,063db
融,0878d
施,065bd
旋,065cb
遊,0904a
旅,065c5
勿,052ff
物,07269
易,06613
賜,08cdc
尿,05c3f
尼,05c3c
尻,05c3b
泥,06ce5
塀,05840
履,05c65
屋,05c4b
握,063e1
屈,05c48
掘,06398
堀,05800
居,05c45
据,0636e
裾,088fe
層,05c64
局,05c40
遅,09045
漏,06f0f
刷,05237
尺,05c3a
尽,05c3d
沢,06ca2
訳,08a33
択,0629e
昼,0663c
戸,06238
肩,080a9
房,0623f
扇,06247
炉,07089
戻,0623b
涙,06d99
雇,096c7
顧,09867
啓,05553
示,0793a
礼,0793c
祥,07965
祝,0795d
福,0798f
祉,07949
社,0793e
視,08996
奈,05948
尉,05c09
慰,06170
款,06b3e
禁,07981
襟,0895f
宗,05b97
崇,05d07
祭,0796d
察,05bdf
擦,064e6
由,07531
抽,062bd
油,06cb9
袖,08896
宙,05b99
届,05c4a
笛,07b1b
軸,08ef8
甲,07532
押,062bc
岬,05cac
挿,0633f
申,07533
伸,04f38
神,0795e
捜,0635c
果,0679c
菓,083d3
課,08ab2
裸,088f8
斤,065a4
析,06790
所,06240
祈,07948
近,08fd1
折,06298
哲,054f2
逝,0901d
誓,08a93
斬,065ac
暫,066ab
漸,06f38
断,065ad
質,08cea
斥,065a5
訴,08a34
昨,06628
詐,08a50
作,04f5c
雪,096ea
録,09332
剥,05265
尋,05c0b
急,06025
穏,07a4f
侵,04fb5
浸,06d78
寝,05bdd
婦,05a66
掃,06383
当,05f53
彙,05f59
争,04e89
浄,06d44
事,04e8b
唐,05510
糖,07cd6
康,05eb7
逮,0902e
伊,04f0a
君,0541b
群,07fa4
耐,08010
需,09700
儒,05112
端,07aef
両,04e21
満,06e80
画,0753b
歯,06b6f
曲,066f2
曹,066f9
遭,0906d
漕,06f15
槽,069fd
斗,06597
料,06599
科,079d1
図,056f3
用,07528
庸,05eb8
備,05099
昔,06614
錯,0932f
借,0501f
惜,060dc
措,063aa
散,06563
廿,05eff
庶,05eb6
遮,0906e
席,05e2d
度,05ea6
渡,06e21
奔,05954
噴,05674
墳,058b3
憤,061a4
焼,0713c
暁,06681
半,0534a
伴,04f34
畔,07554
判,05224
拳,062f3
券,05238
巻,05dfb
圏,0570f
勝,052dd
藤,085e4
謄,08b04
片,07247
版,07248
之,04e4b
乏,04e4f
芝,0829d
不,04e0d
否,05426
杯,0676f
矢,077e2
矯,077ef
族,065cf
知,077e5
智,0667a
挨,06328
矛,077db
柔,067d4
務,052d9
霧,09727
班,073ed
帰,05e30
弓,05f13
引,05f15
弔,05f14
弘,05f18
強,05f37
弥,05f25
弱,05f31
溺,06eba
沸,06cb8
費,08cbb
第,07b2c
弟,05f1f
巧,05de7
号,053f7
朽,0673d
誇,08a87
顎,0984e
汚,06c5a
与,04e0e
写,05199
身,08eab
射,05c04
謝,08b1d
